nice_edison: CPU: 148.63%, Memory: 766.8MiB / 251.5GiB
nice_edison: CPU: 101.52%, Memory: 766.8MiB / 251.5GiB
nice_edison: CPU: 100.63%, Memory: 766.8MiB / 251.5GiB
nice_edison: CPU: 100.69%, Memory: 766.8MiB / 251.5GiB
nice_edison: CPU: 99.74%, Memory: 766.8MiB / 251.5GiB
nice_edison: CPU: 99.34%, Memory: 766.8MiB / 251.5GiB
nice_edison: CPU: 880.24%, Memory: 1.686GiB / 251.5GiB
nice_edison: CPU: 991.54%, Memory: 1.545GiB / 251.5GiB
happy_keller: CPU: 99.77%, Memory: 766.8MiB / 251.5GiB
happy_keller: CPU: 100.18%, Memory: 766.8MiB / 251.5GiB
happy_keller: CPU: 100.06%, Memory: 766.8MiB / 251.5GiB
happy_keller: CPU: 100.94%, Memory: 766.8MiB / 251.5GiB
happy_keller: CPU: 100.81%, Memory: 766.8MiB / 251.5GiB
happy_keller: CPU: 99.34%, Memory: 766.8MiB / 251.5GiB
happy_keller: CPU: 864.74%, Memory: 1.702GiB / 251.5GiB
happy_keller: CPU: 1197.57%, Memory: 1.957GiB / 251.5GiB
optimistic_matsumoto: CPU: 144.81%, Memory: 766.8MiB / 251.5GiB
optimistic_matsumoto: CPU: 100.00%, Memory: 766.8MiB / 251.5GiB
optimistic_matsumoto: CPU: 100.00%, Memory: 766.8MiB / 251.5GiB
optimistic_matsumoto: CPU: 100.21%, Memory: 766.8MiB / 251.5GiB
optimistic_matsumoto: CPU: 101.48%, Memory: 766.8MiB / 251.5GiB
optimistic_matsumoto: CPU: 101.34%, Memory: 766.8MiB / 251.5GiB
optimistic_matsumoto: CPU: 941.87%, Memory: 1.652GiB / 251.5GiB
optimistic_matsumoto: CPU: 1069.09%, Memory: 1.546GiB / 251.5GiB
relaxed_edison6: CPU: 127.30%, Memory: 766.9MiB / 251.5GiB
relaxed_edison6: CPU: 99.75%, Memory: 766.8MiB / 251.5GiB
relaxed_edison6: CPU: 100.00%, Memory: 766.8MiB / 251.5GiB
relaxed_edison6: CPU: 100.94%, Memory: 766.8MiB / 251.5GiB
relaxed_edison6: CPU: 98.61%, Memory: 766.8MiB / 251.5GiB
relaxed_edison6: CPU: 101.39%, Memory: 766.8MiB / 251.5GiB
relaxed_edison6: CPU: 1379.78%, Memory: 1.945GiB / 251.5GiB
relaxed_edison6: CPU: 1532.12%, Memory: 1.957GiB / 251.5GiB
mystifying_roentgen: CPU: 170.75%, Memory: 766.8MiB / 251.5GiB
mystifying_roentgen: CPU: 100.24%, Memory: 766.8MiB / 251.5GiB
mystifying_roentgen: CPU: 101.28%, Memory: 766.8MiB / 251.5GiB
mystifying_roentgen: CPU: 100.33%, Memory: 766.8MiB / 251.5GiB
mystifying_roentgen: CPU: 100.63%, Memory: 766.8MiB / 251.5GiB
mystifying_roentgen: CPU: 101.28%, Memory: 766.8MiB / 251.5GiB
mystifying_roentgen: CPU: 1062.59%, Memory: 1.564GiB / 251.5GiB
mystifying_roentgen: CPU: 1157.49%, Memory: 1.957GiB / 251.5GiB
inspiring_yalow: CPU: 123.84%, Memory: 766.9MiB / 251.5GiB
inspiring_yalow: CPU: 99.71%, Memory: 766.9MiB / 251.5GiB
inspiring_yalow: CPU: 100.00%, Memory: 766.9MiB / 251.5GiB
inspiring_yalow: CPU: 100.31%, Memory: 766.9MiB / 251.5GiB
inspiring_yalow: CPU: 100.82%, Memory: 766.8MiB / 251.5GiB
inspiring_yalow: CPU: 100.37%, Memory: 766.8MiB / 251.5GiB
inspiring_yalow: CPU: 869.31%, Memory: 1.693GiB / 251.5GiB
inspiring_yalow: CPU: 937.33%, Memory: 1.545GiB / 251.5GiB
busy_mahavira: CPU: 101.65%, Memory: 767MiB / 251.5GiB
