sharp_mccarthy: CPU: 106.77%, Memory: 1.779GiB / 251.5GiB
sharp_mccarthy: CPU: 99.50%, Memory: 2.989GiB / 251.5GiB
sharp_mccarthy: CPU: 100.12%, Memory: 2.989GiB / 251.5GiB
sharp_mccarthy: CPU: 100.71%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 101.92%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 100.71%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.81%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 100.08%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 100.40%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 101.02%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 100.12%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.77%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 101.91%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.93%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 100.00%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.75%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.75%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 101.35%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 100.50%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.83%, Memory: 2.988GiB / 251.5GiB
sharp_mccarthy: CPU: 99.68%, Memory: 3.177GiB / 251.5GiB
sharp_mccarthy: CPU: 99.87%, Memory: 6.854GiB / 251.5GiB
sharp_mccarthy: CPU: 1531.14%, Memory: 7.613GiB / 251.5GiB
sharp_mccarthy: CPU: 1550.56%, Memory: 7.613GiB / 251.5GiB
sharp_mccarthy: CPU: 903.58%, Memory: 7.613GiB / 251.5GiB
sharp_mccarthy: CPU: 100.37%, Memory: 6.88GiB / 251.5GiB
sharp_mccarthy: CPU: 1564.66%, Memory: 7.627GiB / 251.5GiB
sharp_mccarthy: CPU: 1535.02%, Memory: 7.627GiB / 251.5GiB
sharp_mccarthy: CPU: 1530.25%, Memory: 7.627GiB / 251.5GiB
sharp_mccarthy: CPU: 1546.72%, Memory: 7.633GiB / 251.5GiB
sharp_mccarthy: CPU: 1541.94%, Memory: 7.638GiB / 251.5GiB
sharp_mccarthy: CPU: 307.24%, Memory: 7.64GiB / 251.5GiB
sharp_mccarthy: CPU: 100.56%, Memory: 6.067GiB / 251.5GiB
nervous_moser: CPU: 101.35%, Memory: 2.203GiB / 251.5GiB
nervous_moser: CPU: 102.25%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 102.25%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 101.00%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.97%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 101.15%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.21%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.00%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.84%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.27%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.37%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 101.07%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.88%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 101.09%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.21%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 101.09%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 98.85%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 101.16%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.96%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 99.65%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.15%, Memory: 2.988GiB / 251.5GiB
nervous_moser: CPU: 100.12%, Memory: 3.363GiB / 251.5GiB
nervous_moser: CPU: 101.77%, Memory: 6.862GiB / 251.5GiB
nervous_moser: CPU: 1555.37%, Memory: 7.613GiB / 251.5GiB
nervous_moser: CPU: 1547.55%, Memory: 7.613GiB / 251.5GiB
nervous_moser: CPU: 1056.43%, Memory: 7.613GiB / 251.5GiB
nervous_moser: CPU: 100.31%, Memory: 6.779GiB / 251.5GiB
nervous_moser: CPU: 1551.71%, Memory: 7.627GiB / 251.5GiB
nervous_moser: CPU: 1545.22%, Memory: 7.627GiB / 251.5GiB
nervous_moser: CPU: 1549.23%, Memory: 7.627GiB / 251.5GiB
nervous_moser: CPU: 1532.04%, Memory: 7.633GiB / 251.5GiB
nervous_moser: CPU: 1515.25%, Memory: 7.638GiB / 251.5GiB
nervous_moser: CPU: 292.11%, Memory: 7.64GiB / 251.5GiB
nervous_moser: CPU: 100.77%, Memory: 6.067GiB / 251.5GiB
frosty_moore: CPU: 149.79%, Memory: 1.735GiB / 251.5GiB
frosty_moore: CPU: 99.94%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.94%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.06%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.56%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 101.22%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 99.68%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 99.75%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.77%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.43%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.68%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.14%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 101.15%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 101.00%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 101.13%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.43%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.25%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 100.81%, Memory: 2.988GiB / 251.5GiB
frosty_moore: CPU: 99.37%, Memory: 2.988GiB / 251.5GiB
