cranky_bouman: CPU: 101.33%, Memory: 193.5MiB / 251.5GiB
cranky_bouman: CPU: 101.32%, Memory: 321.8MiB / 251.5GiB
cranky_bouman: CPU: 1557.79%, Memory: 391.3MiB / 251.5GiB
cranky_bouman: CPU: 1556.44%, Memory: 393.3MiB / 251.5GiB
cranky_bouman: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 101.28%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 100.37%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 101.19%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 101.26%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 100.69%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 102.05%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 101.02%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 101.66%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 101.03%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 99.96%, Memory: 393.5MiB / 251.5GiB
cranky_bouman: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.40%, Memory: 193.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 575.91%, Memory: 389.3MiB / 251.5GiB
interesting_brahmagupta: CPU: 1545.48%, Memory: 391.3MiB / 251.5GiB
interesting_brahmagupta: CPU: 1565.41%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.93%, Memory: 393.6MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.46%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.06%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.96%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.35%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.96%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.12%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.82%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.44%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.40%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.50%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.20%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.93%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.93%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.58%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.24%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.00%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.31%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.20%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.34%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.37%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.26%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.22%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.34%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.62%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 96.79%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.96%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.96%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.78%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.94%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.35%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.63%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.43%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.62%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.40%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.19%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.77%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.26%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.44%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 102.10%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.91%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.46%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.50%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.19%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.07%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.13%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.94%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.65%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.58%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.71%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.13%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.24%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.31%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.18%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.33%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 98.88%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.18%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.81%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.43%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.62%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.39%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.12%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.71%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.09%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.87%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.08%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.90%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.03%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.56%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.02%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.40%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.90%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 100.06%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.01%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.62%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 99.83%, Memory: 393.5MiB / 251.5GiB
interesting_brahmagupta: CPU: 101.39%, Memory: 393.5MiB / 251.5GiB
